Vegetable,Season,Year,Month,Temp,Deasaster Happen in last 3month,State,Price per kg
Potato,Monsoon,2020,January,26.93778574771916,0,Andaman and Nicobar Islands,26.037760114582476
Cauliflower,Spring,2020,July,29.446478942164664,0,Dadra and Nagar Haveli,94.09565284468269
Brinjal,Winter,2020,May,15.18761706080527,1,Uttarakhand,153.51213572534232
Brinjal,Autumn,2020,November,25.87190773507254,1,Punjab,158.73420468095034
Bitter gourd,Winter,2020,February,13.42388202248747,1,West Bengal,75.95392431
Pumpkin,Summer,2020,February,22.050471701483957,0,Jharkhand,181.60648648376886
Radish,Autumn,2020,September,26.380910136127113,0,Kerala,125.87644250488236
Cabbage,Autumn,2020,July,17.95191610623015,0,Rajasthan,65.02773355253842
Cabbage,Summer,2020,June,18.645771067736227,0,Uttar Pradesh,42.14730159005713
Cabbage,Summer,2020,January,31.635170882704198,1,Manipur,122.30426093154352
Bitter gourd,Spring,2020,January,16.04682443824877,0,Nagaland,178.42796116004882
Cabbage,Winter,2020,October,35.339814203770324,1,Assam,107.67313551783356
Radish,Spring,2020,June,14.041471905770674,0,Andhra Pradesh,197.4942723603055
Radish,Spring,2020,November,30.26745902782661,0,Jharkhand,89.38352046815845
Brinjal,Autumn,2020,January,13.998069003189022,1,Tamil Nadu,145.67484627953607
Onion,Autumn,2020,September,28.43485697986795,1,Manipur,57.76811670024549
Garlic,Monsoon,2020,April,21.80658279003429,0,Haryana,129.28091344049977
Cauliflower,Autumn,2020,August,29.744895705163866,1,Haryana,155.15485249464777
Pumpkin,Winter,2020,October,16.483333575065167,1,Rajasthan,97.42620939146482
Cabbage,Winter,2020,May,35.69333618958123,1,Rajasthan,177.82004355607287
Tomato,Monsoon,2020,May,31.634850684031825,1,Madhya Pradesh,109.84300211862703
Peas,Winter,2020,May,37.90304009,1,Manipur,37.67321691190287
Cucumber,Spring,2020,September,23.390033271145164,1,Haryana,165.15998758390037
Cucumber,Spring,2020,November,17.55577894160476,0,Andhra Pradesh,147.82162190972605
Pointed grourd,Monsoon,2020,February,11.430881859073564,0,Karnataka,192.62645715226873
Okra,Spring,2020,July,34.22793424826242,0,Goa,172.51044794728475
Cucumber,Spring,2020,November,36.56948030060715,0,Assam,62.06830172478173
Peas,Monsoon,2020,March,28.802741825139766,0,Jharkhand,95.89045261710842
Tomato,Summer,2020,June,33.809187953525495,0,West Bengal,49.47481204
Peas,Autumn,2020,June,18.280541496988675,1,Mizoram,60.23789265613758
Cucumber,Summer,2020,August,16.90251802034707,1,Andaman and Nicobar Islands,104.60034786169828
Peas,Summer,2020,July,20.546515328164823,1,Dadra and Nagar Haveli,67.52828338816136
Ginger,Spring,2020,November,13.488577915768806,0,Karnataka,142.60168684456457
Radish,Spring,2020,June,36.43261799166032,1,Puducherry,63.71353090014747
Tomato,Monsoon,2020,February,16.43957241295267,1,Mizoram,121.14415934647172
Pointed grourd,Monsoon,2020,August,32.596240011681594,0,West Bengal,151.84195168271145
Potato,Spring,2020,February,31.845645632342134,0,Lakshadweep,25.987587287046345
Potato,Summer,2020,September,14.665189356167671,0,Meghalaya,93.93862057
Cucumber,Monsoon,2020,April,10.962474389740004,1,Lakshadweep,65.68366003176003
Pumpkin,Autumn,2020,March,18.327284450160832,0,Chandigarh,106.95450877941283
Peas,Summer,2020,April,35.368917486404705,0,Andhra Pradesh,182.34521495976531
Ginger,Winter,2020,March,36.27282222836184,0,Manipur,195.3991619375851
Ginger,Summer,2020,November,10.89009021,0,Assam,173.70512965582796
Potato,Spring,2020,October,11.307430502319315,1,Andhra Pradesh,52.812070533243954
Radish,Autumn,2020,December,29.216538873569707,0,Meghalaya,137.57403776740168
Bitter gourd,Spring,2020,May,23.14972725406317,1,Daman and Diu,45.11274536673194
Onion,Monsoon,2020,December,27.39131972777627,1,Uttarakhand,35.487827591007424
Pointed grourd,Winter,2020,September,20.93806551230708,1,Chhattisgarh,194.6653666774832
Radish,Summer,2020,March,12.701277682663688,1,Sikkim,22.610649776650696
Pumpkin,Spring,2020,November,39.642373524262766,0,Madhya Pradesh,47.56536949315364
Cauliflower,Autumn,2020,April,14.47050467095548,0,Maharashtra,106.09692326236876
Onion,Spring,2020,March,27.78836479,0,Haryana,98.26673504358688
Okra,Winter,2020,February,27.406097140693664,0,Chandigarh,195.67975458292017
Potato,Summer,2020,July,19.414603758822885,1,Andhra Pradesh,56.66533385385146
Bitter gourd,Monsoon,2020,January,29.52808336703899,0,Meghalaya,67.29914245004667
Okra,Summer,2020,October,27.60445568500212,0,Manipur,41.88069338715884
Cucumber,Winter,2020,December,39.05315256418304,1,Dadra and Nagar Haveli,103.2378208679412
Radish,Autumn,2020,May,32.65802520158675,1,Jharkhand,105.22890880533568
Bitter gourd,Winter,2020,November,39.18724032,1,Goa,43.982486002639746
Okra,Monsoon,2020,August,31.369004495350765,0,Telangana,187.9654311489033
Garlic,Winter,2020,May,26.734014207220856,0,Rajasthan,130.33221192619678
Pumpkin,Spring,2020,August,30.063968850408994,0,Maharashtra,40.330504756787164
Cauliflower,Monsoon,2020,August,28.49006418602262,0,Odisha,152.22402294399689
Garlic,Autumn,2020,February,33.6100509,0,Chandigarh,60.36634388671742
Brinjal,Summer,2020,February,37.00174628336208,0,Tamil Nadu,189.02873642961825
Brinjal,Winter,2020,June,18.47498297151038,0,Himachal Pradesh,67.86970965022957
Cucumber,Autumn,2020,June,24.124323412421454,1,Telangana,29.06171579872376
Onion,Spring,2020,November,33.624939321145746,1,Mizoram,87.46119096909229
