Vegetable,Season,Month,Temp,Deasaster Happen in last 3month,State,Price per kg
Cauliflower,Spring,June,30.217794887134705,0,Uttarakhand,168.16215153351106
Pumpkin,Spring,September,39.75393182381567,1,Lakshadweep,29.679740441319936
Brinjal,Autumn,November,38.64367307877038,0,Chhattisgarh,54.586997411787266
Chilly,Spring,April,35.05449343335463,0,Andhra Pradesh,52.65692788583028
Garlic,Monsoon,January,12.306757196445487,0,Tamil Nadu,81.40298307666862
Garlic,Monsoon,December,38.98606628344816,1,Tamil Nadu,97.8655448627729
Chilly,Monsoon,January,19.108203192563593,0,Uttarakhand,188.07589842810887
Peas,Winter,November,25.628827376002494,0,Meghalaya,125.24377289926721
Pointed grourd,Winter,November,30.157783328906348,0,Dadra and Nagar Haveli,23.686929951817298
Bitter gourd,Winter,August,14.902794107181025,1,Lakshadweep,167.84475294966137
Cauliflower,Autumn,September,36.802079213398315,0,Kerala,68.74532119773944
Onion,Monsoon,April,21.984662078421795,0,Kerala,195.37765217128234
Chilly,Monsoon,November,14.959482862648386,1,Assam,165.07571712222347
Okra,Monsoon,July,35.48776029156693,1,Maharashtra,21.21314722119361
Cauliflower,Autumn,January,28.096153648225553,1,Tripura,133.6344779434839
Potato,Autumn,September,15.712789814048946,0,Tamil Nadu,153.40758993828013
Tomato,Monsoon,January,17.369861518423125,0,Bihar,31.73117611500585
Radish,Spring,August,13.579426167376317,0,Karnataka,195.48141256857892
Radish,Summer,March,14.099385231854718,0,Telangana,173.34474851798961
Cauliflower,Monsoon,August,21.040925583512113,1,Tripura,124.71989029655538
Chilly,Spring,October,38.691852556250716,1,Kerala,147.42437504008598
Okra,Monsoon,August,14.573103344608477,1,Mizoram,62.9545509659116
Ginger,Autumn,September,24.265750189373605,0,Jharkhand,119.64462812079843
Brinjal,Monsoon,February,22.575789246567993,1,Andhra Pradesh,43.149815543136256
Radish,Summer,April,31.63993845803557,1,Haryana,128.34142687241365
Brinjal,Winter,August,18.43102354285946,0,Andhra Pradesh,26.10488401428032
Pumpkin,Summer,November,19.317434695628382,0,Nagaland,190.20720235970802
Tomato,Summer,October,21.590807940065883,0,Manipur,101.60039422667604
Okra,Autumn,January,25.212200280761685,0,Rajasthan,159.21769966960292
Potato,Winter,August,35.62193301151022,0,Meghalaya,83.8817012374205
Chilly,Spring,September,26.842125950435832,1,Arunachal Pradesh,84.9317493567138
Brinjal,Summer,November,24.837199057564284,0,Bihar,119.42814698537663
Chilly,Autumn,July,25.195233525848586,1,Delhi,183.10590849807664
Garlic,Summer,June,15.467334356057446,1,Chhattisgarh,199.53936339593733
Ginger,Monsoon,November,26.14858307660498,0,Manipur,39.09169386120898
Chilly,Winter,February,27.54684556749928,0,Daman and Diu,30.669603549888436
Brinjal,Autumn,February,14.11312685602898,1,Uttar Pradesh,197.45673658200064
Chilly,Winter,December,20.16570841430267,1,Telangana,65.78418548011743
Garlic,Autumn,August,13.194553656921041,0,Punjab,85.1822554460275
Brinjal,Autumn,May,12.968887663824125,0,Odisha,114.42273439765663
Cucumber,Monsoon,July,39.77495455425599,1,Puducherry,127.93589882414031
Okra,Spring,October,27.58434184586067,1,Puducherry,106.69021958955234
Okra,Monsoon,February,29.621953368440398,0,Uttarakhand,67.64599255553485
Cabbage,Summer,February,22.96070169078316,0,Uttarakhand,89.58890224448567
Cucumber,Spring,September,37.16787101426317,1,Goa,83.7905996845538
Okra,Winter,March,38.114654623685894,1,West Bengal,181.38108473173432
Chilly,Autumn,September,35.22750511650415,1,Assam,55.564359747894365
Tomato,Summer,May,32.88408714473299,0,Daman and Diu,68.3744516255565
Pumpkin,Autumn,August,27.211321508517383,0,Delhi,148.11448037764282
Bitter gourd,Winter,May,10.309919288296568,1,Puducherry,40.06488539628354
Garlic,Summer,March,31.895569213763032,1,Goa,140.58393426721656
Garlic,Monsoon,April,25.989911961971323,0,Puducherry,64.37935195765675
Pumpkin,Monsoon,April,36.43256803128891,0,West Bengal,79.39123004322258
Bitter gourd,Winter,July,19.77513190611684,0,Andhra Pradesh,51.94608195900907
Cauliflower,Autumn,December,25.912334889307637,0,Chhattisgarh,20.034049400064962
Potato,Monsoon,August,32.64617612123777,0,Nagaland,44.81017054202732
Tomato,Monsoon,March,28.46157459233309,1,West Bengal,53.62373831431669
Radish,Summer,February,26.90142541478787,0,Uttar Pradesh,157.91345214852907
Chilly,Spring,July,29.64641785539479,1,Rajasthan,121.36978539156257
Pointed grourd,Summer,January,34.55224932832181,0,Maharashtra,39.658694716393555
Garlic,Spring,December,37.82642910367706,0,Delhi,185.72846395041216
Cauliflower,Autumn,October,19.128237747174637,1,Tripura,187.83255342719053
Pumpkin,Summer,April,22.359493037004263,0,Odisha,193.50711287058965
Pointed grourd,Spring,September,28.71029429307971,1,Jharkhand,38.75743491980511
Onion,Summer,December,38.19441387856116,0,Mizoram,151.843836723285
Potato,Winter,August,30.884809503738797,0,Himachal Pradesh,84.57300006738582
Chilly,Autumn,March,22.291451216132177,0,Chhattisgarh,180.79185544541633
Cucumber,Monsoon,December,23.808487523411465,0,Mizoram,127.77702527058648
Okra,Winter,August,33.45944949847959,1,Puducherry,157.34385322647879
Cabbage,Winter,June,24.606480889146155,1,Daman and Diu,114.89841302675015
Cabbage,Summer,September,14.80643485423742,1,Chhattisgarh,47.81346797838416
